Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_DailyRate,MonthlyIncome_JobLevel,YearsAtCompany_TotalWorkingYears,Age_Binned,MonthlyIncome_Binned,Income_to_Level_Ratio,Company_Loyalty,WorkLife_OverTime_Stress,JobRole_Hash_0,JobRole_Hash_1,JobRole_Hash_2,JobRole_Hash_3,JobRole_Hash_4,JobRole_Hash_5,JobRole_Hash_6,JobRole_Hash_7
46,0,2,991,0,1,2,1,4,0,44,3,1,1,2,3423,22957,6,0,12,3,3,0,10,3,4,7,6,5,7,45586,3423,70,2,0,1711.5,0.6363636363636364,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,0,2,447,1,5,3,1,2,1,85,4,2,2,2,6870,15530,3,0,12,3,1,0,11,3,1,3,2,1,2,18327,13740,33,2,1,2290.0,0.25,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,0,2,654,2,21,3,2,3,1,43,4,1,4,2,2678,5050,1,0,17,3,4,0,2,2,3,2,1,2,2,13080,2678,4,0,0,1339.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
31,0,2,1003,2,5,3,5,1,1,51,3,2,3,1,8346,20943,1,0,19,3,3,1,6,3,3,5,2,0,2,31093,16692,30,1,1,2782.0,0.7142857142857143,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,0,0,976,1,3,2,3,3,1,48,3,1,1,0,3065,3995,1,1,13,3,4,1,4,3,4,4,2,2,3,30256,3065,16,1,0,1532.5,0.8,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,2,1402,2,2,3,2,3,0,69,3,4,1,1,17048,24097,8,0,23,4,1,0,28,2,3,26,15,15,9,64492,68192,728,2,2,3409.6,0.896551724137931,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,2,1070,1,3,4,3,3,1,45,3,4,3,1,17584,21016,3,1,16,3,4,3,21,5,2,5,3,1,3,56710,70336,105,3,2,3516.8,0.22727272727272727,2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,2,350,1,21,2,5,3,1,57,2,1,1,0,2296,10036,0,0,14,3,2,3,2,3,3,1,1,0,0,8400,2296,2,0,0,1148.0,0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,0,2,1325,1,11,4,1,4,0,82,3,2,3,1,3149,21821,8,0,20,4,2,1,9,3,3,5,2,1,4,68900,6298,45,3,0,1049.6666666666667,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,0,1,1480,1,3,2,3,4,1,30,3,1,2,2,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,53280,2088,104,1,0,1044.0,0.5714285714285714,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,0,2,1378,1,13,2,4,4,1,46,2,2,2,1,4025,23679,4,1,13,3,1,1,10,2,3,4,3,0,3,39962,8050,40,0,0,1341.6666666666667,0.36363636363636365,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,0,2,1300,1,17,2,3,3,1,79,3,2,1,0,4558,13535,1,0,12,3,4,1,10,2,3,10,0,1,8,36400,9116,100,0,0,1519.3333333333333,0.9090909090909091,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,0,2,300,1,2,3,1,1,1,56,3,5,3,1,18880,17312,5,0,11,3,1,0,24,2,2,22,6,4,14,12600,94400,528,2,2,3146.6666666666665,0.88,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,2,501,2,5,1,3,3,1,58,3,1,1,2,2380,25479,1,1,11,3,4,0,2,6,3,2,2,1,2,10521,2380,4,0,0,1190.0,0.6666666666666666,3,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
52,1,2,723,1,8,4,3,3,1,85,2,2,2,1,4941,17747,2,0,15,3,1,0,11,3,2,8,2,7,7,37596,9882,88,3,1,1647.0,0.6666666666666666,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2,604,1,6,1,3,1,1,69,3,1,3,1,2773,12145,0,0,20,4,4,0,3,3,3,2,2,2,2,13288,2773,6,0,0,1386.5,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,697,1,3,4,1,3,1,40,2,1,4,1,2979,22478,3,0,17,3,4,3,6,2,3,0,0,0,0,23698,2979,0,1,0,1489.5,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,2,329,2,16,4,2,3,0,98,2,2,1,1,5647,13494,4,0,13,3,1,2,11,3,2,3,2,0,2,11844,11294,33,1,1,1882.3333333333333,0.25,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,1,2,1277,1,15,1,3,2,1,56,3,3,3,1,13610,24619,7,1,12,3,4,0,15,2,4,7,6,7,7,42141,40830,105,1,2,3402.5,0.4375,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2,1230,1,1,2,1,4,1,33,2,2,4,1,4775,19146,6,0,22,4,1,2,4,2,1,2,2,2,2,27060,9550,8,0,0,1591.6666666666667,0.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,0,2,718,1,4,4,5,4,0,92,3,5,1,0,19943,18575,4,0,13,3,4,1,28,2,3,5,2,4,2,40208,99715,140,3,2,3323.8333333333335,0.1724137931034483,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,2,1329,1,7,3,1,3,1,82,3,2,4,0,6623,4204,1,1,11,3,2,2,6,2,3,6,0,1,0,38541,13246,36,0,1,2207.6666666666665,0.8571428571428571,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,0,2,884,2,1,4,1,2,0,73,3,2,3,2,6815,21447,6,0,13,3,1,0,15,5,3,1,0,0,0,31824,13630,15,1,1,2271.6666666666665,0.0625,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0,2,1239,2,13,4,3,4,1,39,3,3,3,0,8628,22914,1,0,18,3,3,1,9,2,2,8,7,1,1,42126,25884,72,1,2,2157.0,0.8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0,2,665,1,6,4,4,1,0,41,3,2,3,2,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,22610,9618,256,1,0,1603.0,0.9411764705882353,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,2,989,1,7,2,3,2,0,43,2,5,3,0,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,49450,93700,783,2,2,3123.3333333333335,0.9,2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,2,903,1,2,3,3,3,1,81,3,2,2,1,4855,7653,4,0,11,3,1,2,7,2,3,5,2,1,4,34314,9710,35,1,0,1618.3333333333333,0.625,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,1,2,740,2,1,3,1,2,1,64,2,2,1,1,9714,5323,1,0,11,3,4,1,10,4,3,10,8,6,7,22200,19428,100,0,2,3238.0,0.9090909090909091,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,0,2,1099,2,5,3,2,2,1,88,3,5,2,1,18213,8751,7,0,11,3,3,1,26,5,3,22,9,3,10,48356,91065,572,2,2,3035.5,0.8148148148148148,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,1,365,1,4,5,3,3,1,89,2,4,4,1,15202,5602,2,0,25,4,2,1,23,3,3,2,2,2,2,17520,60808,46,2,2,3040.4,0.08333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,2,1145,1,9,3,3,2,0,75,2,1,2,1,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,66410,3346,9,3,0,1673.0,0.1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,746,2,2,3,1,4,1,61,3,2,3,1,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,21634,9298,16,0,0,1549.6666666666667,0.8,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0,2,258,2,21,4,1,4,1,74,4,2,4,2,5337,19921,1,0,12,3,4,0,10,3,3,10,7,5,7,8772,10674,100,1,1,1779.0,0.9090909090909091,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,0,0,1277,1,8,5,1,1,1,87,1,1,3,1,4621,5869,1,0,19,3,4,3,3,4,3,3,2,1,2,34479,4621,9,0,0,2310.5,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,0,2,462,2,14,2,3,3,0,68,2,2,3,2,6244,7824,7,0,17,3,1,0,10,6,3,5,4,0,3,19404,12488,50,2,1,2081.3333333333335,0.45454545454545453,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,0,1,1200,1,22,3,1,4,0,75,3,2,4,0,5467,13953,3,1,14,3,1,2,12,4,2,6,2,3,3,49200,10934,72,2,1,1822.3333333333333,0.46153846153846156,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,2,1189,2,3,3,1,3,1,87,3,3,4,2,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,43993,22284,60,1,1,1857.0,0.38461538461538464,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,1,2,1219,1,4,1,5,4,1,32,3,1,4,1,3691,4605,1,1,15,3,2,1,7,3,4,7,7,5,6,30475,3691,49,0,0,1845.5,0.875,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0,1,1146,2,25,3,3,2,0,82,3,2,3,1,4539,4905,1,0,12,3,1,1,10,3,2,10,7,0,1,37818,9078,100,1,0,1513.0,0.9090909090909091,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,0,2,1093,2,6,4,3,2,1,87,3,2,3,2,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,34976,10020,132,1,1,1670.0,0.8461538461538461,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0,2,852,1,5,4,1,2,0,82,2,1,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,30672,3419,6,1,0,1709.5,0.14285714285714285,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,2,1449,1,16,4,3,1,1,45,3,1,2,0,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,37674,2373,15,0,0,1186.5,0.5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,0,2,884,1,15,3,1,1,0,80,2,3,3,1,10435,25800,1,0,13,3,4,2,18,2,3,18,15,14,12,35360,31305,324,1,2,2608.75,0.9473684210526315,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,0,1,945,1,22,3,3,4,0,82,3,3,1,2,10880,5083,1,1,13,3,3,0,21,2,3,21,6,2,8,36855,32640,441,1,2,2720.0,0.9545454545454546,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,0,0,1262,1,1,4,3,1,1,35,4,4,4,2,16885,16154,2,0,22,4,3,0,27,3,2,5,4,2,1,60576,67540,135,2,2,3377.0,0.17857142857142858,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,300,1,1,3,1,4,1,61,3,1,4,0,2314,9148,0,0,12,3,2,1,4,2,3,3,0,0,2,9600,2314,12,1,0,1157.0,0.6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,0,2,930,1,6,3,3,1,0,73,2,2,3,2,4081,20003,1,1,14,3,1,0,20,3,1,20,7,1,8,39990,8162,400,2,0,1360.3333333333333,0.9523809523809523,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,1,203,1,2,3,1,1,1,84,3,4,4,0,12169,13547,7,0,11,3,4,3,21,4,3,18,7,11,5,7917,48676,378,1,2,2433.8,0.8181818181818182,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,1,1,871,1,6,3,1,4,0,66,2,1,4,2,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,17420,2926,1,0,0,1463.0,0.5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,1,2,895,2,5,3,5,4,1,56,3,2,4,1,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,34905,4172,19,1,0,695.3333333333334,0.05,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
34,0,2,1320,1,20,3,5,3,0,89,4,1,3,1,2585,21643,0,0,17,3,4,0,2,5,2,1,0,0,0,44880,2585,2,1,0,1292.5,0.3333333333333333,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,1,240,1,2,4,1,1,0,75,4,2,1,2,5980,26085,6,1,12,3,4,0,17,2,3,15,7,4,12,9120,11960,255,1,1,1993.3333333333333,0.8333333333333334,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,0,2,760,2,2,4,2,2,0,81,3,2,2,1,4779,3698,1,1,20,4,1,0,8,2,3,8,7,7,5,21280,9558,64,0,0,1593.0,0.8888888888888888,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,1,2,1404,1,17,3,5,3,1,32,2,1,4,0,2367,18779,5,0,12,3,1,1,6,2,2,4,1,0,3,39312,2367,24,0,0,1183.5,0.5714285714285714,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,0,0,1050,2,9,4,1,2,0,65,2,2,3,1,5593,17970,1,0,13,3,4,1,15,2,3,15,10,4,12,47250,11186,225,2,1,1864.3333333333333,0.9375,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,0,1,1283,2,1,3,3,3,1,52,2,2,1,2,4294,11148,1,0,12,3,2,0,7,2,3,7,7,0,7,33358,8588,49,0,0,1431.3333333333333,0.875,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0,2,429,1,2,4,1,3,0,53,3,2,2,2,5410,2323,9,1,11,3,4,0,18,2,3,16,14,5,12,15444,10820,288,1,1,1803.3333333333333,0.8421052631578947,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,0,2,817,2,2,1,2,2,1,56,4,2,2,1,8120,18597,3,0,12,3,4,0,12,3,3,2,2,2,2,39216,16240,24,2,1,2706.6666666666665,0.15384615384615385,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,0,2,1473,1,8,4,4,3,0,74,3,2,3,0,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,63339,9044,40,2,0,1507.3333333333333,0.5555555555555556,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,0,2,1079,2,10,2,3,3,0,86,3,2,4,0,6583,20115,2,1,11,3,4,1,8,2,3,5,2,1,4,33449,13166,40,1,1,2194.3333333333335,0.5555555555555556,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0,1,735,1,22,4,4,3,1,86,2,2,4,1,5747,26496,1,1,15,3,2,0,16,3,3,15,10,6,11,24990,11494,240,1,1,1915.6666666666667,0.8823529411764706,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,2,465,1,1,3,5,1,1,74,3,1,4,1,3420,10205,7,0,12,3,3,1,17,2,2,6,5,1,2,21855,3420,102,2,0,1710.0,0.3333333333333333,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,2,285,1,29,3,3,2,1,86,3,2,3,1,5429,17491,4,0,13,3,1,2,10,1,3,8,7,7,7,9690,10858,80,1,1,1809.6666666666667,0.7272727272727273,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,0,2,890,2,2,3,2,4,0,97,3,1,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,31150,2014,4,1,0,1007.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
38,0,2,1084,1,29,3,5,4,1,54,3,2,4,1,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,41192,12522,63,1,1,2087.0,0.7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0,2,373,1,1,2,1,4,1,47,3,1,3,1,1223,16901,1,0,22,4,4,1,1,2,3,1,0,0,1,8579,1223,1,0,0,611.5,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,1,920,1,24,3,1,4,1,43,3,1,3,0,3161,19920,3,1,22,4,4,1,19,0,1,1,0,0,0,40480,3161,19,2,0,1580.5,0.05,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,0,2,468,1,28,4,3,4,0,73,2,1,1,2,3785,8489,1,0,14,3,2,0,5,3,1,5,4,0,4,13572,3785,25,0,0,1892.5,0.8333333333333334,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,2,971,2,1,3,5,4,1,64,2,3,3,1,7083,12288,1,1,14,3,4,0,10,3,3,10,9,8,6,33014,21249,100,1,1,1770.75,0.9090909090909091,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0,0,1105,1,24,4,1,2,0,47,3,2,2,1,5674,6927,7,0,15,3,3,1,11,3,3,9,8,0,8,39780,11348,99,1,1,1891.3333333333333,0.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,0,0,177,1,8,1,3,4,1,37,2,4,2,0,13577,25592,1,1,15,3,4,1,34,3,3,33,9,15,0,9735,54308,1122,3,2,2715.4,0.9428571428571428,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0,2,589,1,14,2,1,2,1,94,3,4,1,1,17159,5200,6,0,24,4,3,1,22,3,3,4,1,1,0,25327,68636,88,2,2,3431.8,0.17391304347826086,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1,1316,1,2,2,1,4,0,38,3,2,3,2,4998,2338,4,1,14,3,4,0,10,2,3,8,7,0,7,42112,9996,80,1,1,1666.0,0.7272727272727273,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1,1318,2,10,4,2,4,1,79,3,2,4,2,4648,26075,8,0,13,3,3,0,4,2,4,0,0,0,0,42176,9296,0,1,0,1549.3333333333333,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,0,2,883,2,26,1,3,3,0,32,3,2,4,2,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4,22075,12360,36,0,1,2060.0,0.8571428571428571,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,0,2,674,1,13,3,3,1,1,47,3,2,4,1,4285,3031,1,0,17,3,1,0,10,2,3,10,8,3,7,24938,8570,100,1,0,1428.3333333333333,0.9090909090909091,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,2,954,2,2,2,5,2,1,46,1,2,3,2,6632,12388,0,0,13,3,1,0,9,3,3,8,7,3,1,42930,13264,72,2,1,2210.6666666666665,0.8,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
33,0,2,1198,1,1,4,4,3,1,100,2,1,1,2,2799,3339,3,1,11,3,2,0,6,1,3,3,2,0,2,39534,2799,18,1,0,1399.5,0.42857142857142855,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,2,471,1,4,3,3,1,0,62,4,1,3,0,3978,16031,8,0,12,3,2,1,4,0,2,2,2,2,2,14601,3978,8,1,0,1989.0,0.4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,0,2,775,2,29,2,3,1,1,45,3,2,3,0,4306,4267,5,0,12,3,1,2,8,5,3,0,0,0,0,20150,8612,0,0,0,1435.3333333333333,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,0,0,849,2,26,2,1,2,1,98,2,2,2,2,7991,25166,8,0,15,3,3,0,6,3,3,2,2,2,2,39054,15982,12,2,1,2663.6666666666665,0.2857142857142857,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,1,2,408,2,23,1,1,4,0,45,2,3,1,1,7336,11162,1,0,13,3,1,1,11,3,1,11,8,3,10,11832,22008,121,0,1,1834.0,0.9166666666666666,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0,2,391,1,15,2,1,3,1,96,3,1,4,2,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,8211,1232,0,0,0,616.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,2,266,2,2,1,2,1,0,57,1,5,4,1,19845,25846,1,0,15,3,4,1,33,3,3,32,14,6,9,13832,99225,1056,3,2,3307.5,0.9411764705882353,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
